Description of Emergency,Title of Emergency
2ND ST & N LINE ST;  LANSDALE; Station 345; 2015-12-28 @ 20:38:41;,EMS: CARBON MONOXIDE DETECTOR
2ND ST & N LINE ST; LANSDALE; 2015-12-28 @ 20:38:20-Station:STA14;,Fire: CARBON MONOXIDE DETECTOR
GRATERFORD RD & SCHOOL RD; LIMERICK; 2015-12-28 @ 20:43:12-Station:STA54;,Fire: FIRE SPECIAL SERVICE
BYBERRY RD & READING WAY; BRYN ATHYN; 2015-12-28 @ 20:45:34-Station:STA11;,Fire: GAS-ODOR/LEAK
SUSQUEHANNA RD & HUNTINGDON RD;  ABINGTON; Station 381; 2015-12-28 @ 20:54:18;,EMS: CARDIAC EMERGENCY
MASTERS WAY & CHAMPIONSHIP DR;  LOWER SALFORD; Station 344; 2015-12-28 @ 20:52:04;,EMS: SUBJECT IN PAIN
BETHLEHEM PIKE & HILLTOWN PIKE;  HATFIELD TOWNSHIP; Station 345; 2015-12-28 @ 21:01:23;,EMS: OVERDOSE
ROCKWELL RD & RUBICAM AVE;  ABINGTON; Station 381; 2015-12-28 @ 21:05:56;,EMS: SEIZURES
GROSSTOWN RD & BERKS ST; WEST POTTSGROVE; 2015-12-28 @ 21:08:26-Station:STA57;,Fire: VEHICLE ACCIDENT
CONSHOHOCKEN STATE RD & ST ASAPHS RD;  LOWER MERION; Station 313; 2015-12-28 @ 21:09:17;,EMS: DIZZINESS
GROSSTOWN RD & BERKS ST; WEST POTTSGROVE; 2015-12-28 @ 21:07:52;,Traffic: VEHICLE ACCIDENT -
MEDFORD RD & HAVERFORD RD; LOWER MERION; 2015-12-28 @ 21:14:43;,Traffic: DISABLED VEHICLE -
VALLEY FORGE RD & N HENDERSON RD;  UPPER MERION; Station 317; 2015-12-28 @ 21:17:46;,EMS: BACK PAINS/INJURY
SOUTHWIND WAY & CANDLEBROOK DR;  UPPER DUBLIN; Station 351; 2015-12-28 @ 21:19:56;,EMS: CARDIAC EMERGENCY
PLYMOUTH RD & W GERMANTOWN PIKE; PLYMOUTH; 2015-12-28 @ 21:26:24;,Traffic: VEHICLE ACCIDENT -
ROCK CREEK RD & MT PLEASANT RD; LOWER MERION; 2015-12-28 @ 21:49:26-Station:STA24;,Fire: FIRE ALARM
E GERMANTOWN PIKE & DEKALB PIKE; EAST NORRITON; 2015-12-28 @ 21:48:19;,Traffic: DISABLED VEHICLE -
RABBIT RUN & MALLARD LN; NEW HANOVER; 2015-12-28 @ 21:51:56;,Traffic: VEHICLE ACCIDENT -
MAIN ST & MILL ST;  NORRISTOWN; Station 308A; 2015-12-28 @ 22:10:44;,EMS: SEIZURES
ROCKWELL RD & HAMILTON AVE;  ABINGTON; Station 381; 2015-12-28 @ 22:13:21;,EMS: ABDOMINAL PAINS
CHESTNUT ST & N YORK ST;  POTTSTOWN; Station 329; 2015-12-28 @ 22:14:01;,EMS: RESPIRATORY EMERGENCY
SCHUYLKILL EXPY & RAMP I76 EB TO CITY AVE;  LOWER MERION; Station 313; 2015-12-28 @ 22:16:28;,EMS: VEHICLE ACCIDENT
SCHUYLKILL EXPY & RAMP I76 EB TO CITY AVE; LOWER MERION; 2015-12-28 @ 22:16:14-Station:STA22;,Fire: VEHICLE ACCIDENT
SCHUYLKILL EXPY & RAMP I76 EB TO CITY AVE; LOWER MERION; 2015-12-28 @ 22:16:07;,Traffic: VEHICLE ACCIDENT -
DOCK DR & WOODS DR;  TOWAMENCIN; Station 345B; 2015-12-28 @ 22:22:04;,EMS: FALL VICTIM
GERYVILLE PIKE; UPPER HANOVER; 2015-12-28 @ 22:22:54-Station:STA65;,Fire: VEHICLE ACCIDENT
HARROGATE RD & CREST RD;  LOWER MERION; Station 313; 2015-12-28 @ 22:21:06;,EMS: RESPIRATORY EMERGENCY
EASTON RD & ALLISON RD;  UPPER MORELAND; Station 381; 2015-12-28 @ 22:27:34;,EMS: OVERDOSE
RT100 NB & RAMP FARMINGTON AVE TO RT100 NB; UPPER POTTSGROVE; 2015-12-28 @ 22:27:55;,Traffic: DISABLED VEHICLE -
GERYVILLE PIKE & E BUCK RD; UPPER HANOVER; 2015-12-28 @ 22:34:57;,Traffic: VEHICLE ACCIDENT -
PLYMOUTH RD & EAGLE DR;  PLYMOUTH; Station 308; 2015-12-28 @ 22:36:43;,EMS: HEAD INJURY
MAIN ST & CHURCH ST;  PENNSBURG; Station 369; 2015-12-28 @ 22:40:36;,EMS: BACK PAINS/INJURY
HIGH ST & BEECH ST;  POTTSTOWN; Station 329; 2015-12-28 @ 22:39:57;,EMS: RESPIRATORY EMERGENCY
PLANTATION CT & PLANTATION CT N;  MONTGOMERY; Station 345A; 2015-12-28 @ 22:53:05;,EMS: RESPIRATORY EMERGENCY
HIGH ST & CLAY ALY;  NORRISTOWN; Station 308A; 2015-12-28 @ 22:58:49;,EMS: CARDIAC EMERGENCY
BETHLEHEM PIKE;  SPRINGFIELD; Station 311; 2015-12-28 @ 22:59:29;,EMS: VEHICLE ACCIDENT
BRINTON PARK DR & TWIN OAKS DR; LOWER MERION; 2015-12-28 @ 22:57:51-Station:STA21;,Fire: APPLIANCE FIRE
BETHLEHEM PIKE & E MILL RD; SPRINGFIELD; 2015-12-28 @ 22:59:55;,Traffic: VEHICLE ACCIDENT -
BETHLEHEM PIKE & E MILL RD; SPRINGFIELD; 2015-12-28 @ 22:58:02;,Traffic: VEHICLE ACCIDENT -
BLAKER DR & HAMILTON RD;  EAST GREENVILLE; Station 369; 2015-12-28 @ 23:02:23;,EMS: FALL VICTIM
LAKE LN & SEMINARY ST;  PENNSBURG; Station 369; 2015-12-28 @ 23:06:23;,EMS: FALL VICTIM
STENTON AVE & NEWTON ST;  SPRINGFIELD; Station 311; 2015-12-28 @ 23:09:20;,EMS: HEMORRHAGING
CRESTVIEW RD & CLAYTON RD;  HORSHAM; Station 352; 2015-12-28 @ 23:07:06;,EMS: UNRESPONSIVE SUBJECT
BETHLEHEM PIKE & W MONTGOMERY AVE; SPRINGFIELD; 2015-12-28 @ 23:15:50;,Traffic: VEHICLE ACCIDENT -
DRESHERTOWN RD & WELLSLY RD;  UPPER DUBLIN; Station 381; 2015-12-28 @ 23:18:08;,EMS: FALL VICTIM
KINGS CIR & N SPRING HILL DR; UPPER DUBLIN; 2015-12-28 @ 23:16:49-Station:STA88;,Fire: TRASH/DUMPSTER FIRE
LOGAN ST & GAY ST;  POTTSTOWN; Station 329; 2015-12-28 @ 23:32:58;,EMS: RESPIRATORY EMERGENCY
MATHER WAY & PENROSE AVE;  CHELTENHAM; Station 358; 2015-12-29 @ 00:07:27;,EMS: RESPIRATORY EMERGENCY
RT422  & RAMP RT422 EB TO RT23; UPPER MERION; 2015-12-29 @ 00:10:09;,Traffic: VEHICLE ACCIDENT -
BLACK ROCK RD & S TRAPPE RD;  UPPER PROVIDENCE; Station 325; 2015-12-29 @ 00:28:33;,EMS: CARDIAC EMERGENCY
LANGDON AVE & GILMAN RD;  HORSHAM; Station 352; 2015-12-29 @ 00:39:33;,EMS: CARDIAC EMERGENCY
RED LION RD & MURRAY AVE;  LOWER MORELAND; Station 355; 2015-12-29 @ 01:20:49;,EMS: EMS SPECIAL SERVICE
SUSQUEHANNA RD & HUNTINGDON RD;  ABINGTON; Station 381; 2015-12-29 @ 01:19:14;,EMS: FALL VICTIM
LANCASTER AVE & LANKENAU DR; LOWER MERION; 2015-12-29 @ 01:26:14-Station:STA21;,Fire: VEHICLE FIRE
LANCASTER AVE & LANKENAU DR;  LOWER MERION; Station 313; 2015-12-29 @ 01:27:50;,EMS: VEHICLE ACCIDENT
LANCASTER AVE & LANKENAU DR; LOWER MERION; 2015-12-29 @ 01:26:18;,Traffic: VEHICLE ACCIDENT -
EASTON RD & LIMEKILN PIKE; CHELTENHAM; 2015-12-29 @ 01:44:47-Station:STA1;,Fire: GAS-ODOR/LEAK
N 4TH AVE;  ROYERSFORD; Station 325; 2015-12-29 @ 01:53:43;,EMS: FALL VICTIM
REMINGTON RD & LANCASTER AVE; LOWER MERION; 2015-12-29 @ 01:51:02;,Traffic: VEHICLE ACCIDENT -
EASTON RD & LIMEKILN PIKE;  CHELTENHAM; Station 358A; 2015-12-29 @ 02:02:49;,EMS: HAZARDOUS MATERIALS INCIDENT
TWIN SILO DR & MORRIS RD;  WHITPAIN; Station 385; 2015-12-29 @ 02:08:44;,EMS: CARDIAC EMERGENCY
KING ST & PENN ST;  POTTSTOWN; Station 329; 2015-12-29 @ 02:20:23;,EMS: RESPIRATORY EMERGENCY
MARYLAND RD & COMMERCE AVE; UPPER MORELAND; 2015-12-29 @ 02:16:45-Station:STA10;,Fire: FIRE ALARM
WILLIAMS RD & DAVIDSON RD;  ABINGTON; Station 381; 2015-12-29 @ 02:31:44;,EMS: GENERAL WEAKNESS
LOWER EAST VALLEY FORGE RD & MYERS RD;  UPPER MERION; Station 317; 2015-12-29 @ 02:44:39;,EMS: SYNCOPAL EPISODE
SKIPPACK PIKE & PENLLYN BLUE BELL PIKE; WHITPAIN; 2015-12-29 @ 03:17:32;,Traffic: DISABLED VEHICLE -
COUNTRY CLUB DR & EDGE HILL RD;  ABINGTON; Station 381; 2015-12-29 @ 03:32:48;,EMS: FEVER
HANSEN RD & HAWTHORN RD;  UPPER MERION; Station 317; 2015-12-29 @ 03:41:52;,EMS: CARDIAC EMERGENCY
E LODGES LN; LOWER MERION; 2015-12-29 @ 04:01:22-Station:STA28;,Fire: ELECTRICAL FIRE OUTSIDE
MARYLAND RD & COMMERCE AVE; UPPER MORELAND; 2015-12-29 @ 04:06:48-Station:STA10;,Fire: FIRE ALARM
BONCOUER RD & N FRONT ST;  CHELTENHAM; Station 358; 2015-12-29 @ 04:15:02;,EMS: MEDICAL ALERT ALARM
MULBERRY LN & WALDRON PARK DR;  LOWER MERION; Station 313; 2015-12-29 @ 04:19:16;,EMS: ALTERED MENTAL STATUS
HIGH ST & S FRANKLIN ST;  POTTSTOWN; Station 329; 2015-12-29 @ 04:37:29;,EMS: CARDIAC EMERGENCY
STOUGHTON RD & DORCHESTER RD;  LOWER PROVIDENCE; Station 322; 2015-12-29 @ 04:48:40;,EMS: UNKNOWN MEDICAL EMERGENCY
BROWN AVE & MANKIN AVE;  ABINGTON; Station 382; 2015-12-29 @ 04:50:59;,EMS: MEDICAL ALERT ALARM
RT309 EXPY & NORRISTOWN RD UNDERPASS;  LOWER GWYNEDD; Station 351; 2015-12-29 @ 04:53:56;,EMS: VEHICLE ACCIDENT
RT309 EXPY & NORRISTOWN RD UNDERPASS; LOWER GWYNEDD; 2015-12-29 @ 04:55:15;,Traffic: VEHICLE ACCIDENT -
RT309 EXPY & NORRISTOWN RD UNDERPASS; LOWER GWYNEDD; 2015-12-29 @ 04:53:55;,Traffic: VEHICLE ACCIDENT -
GERMANTOWN PIKE & HALLOWELL RD;  PLYMOUTH; Station 308; 2015-12-29 @ 04:59:04;,EMS: CARDIAC EMERGENCY
VALLEY FORGE CIR & OLD VALLEY FORGE RD;  UPPER MERION; Station 317; 2015-12-29 @ 05:06:25;,EMS: SYNCOPAL EPISODE
SCHUYLKILL EXPY & RAMP CITY AVE EB TO I76 WB; LOWER MERION; 2015-12-29 @ 05:10:51;,Traffic: VEHICLE ACCIDENT -
LANCASTER AVE & STATION AVE;  LOWER MERION; Station 313; 2015-12-29 @ 05:20:33;,EMS: OVERDOSE
LINCOLN AVE & WOOD ALY;  TELFORD; Station 339; 2015-12-29 @ 05:23:05;,EMS: MEDICAL ALERT ALARM
PRIMROSE DR & MAHOGANY WAY;  UPPER GWYNEDD; Station 345B; 2015-12-29 @ 05:34:01;,EMS: CARDIAC EMERGENCY
WAVERLY RD & RIVERVIEW RD; LOWER MERION; 2015-12-29 @ 05:32:52;,Traffic: ROAD OBSTRUCTION -
MAIN ST & GODSHALL DR;  LOWER SALFORD; Station 344; 2015-12-29 @ 05:59:49;,EMS: HEAD INJURY
BLUEROUTE  & RIDGE PIKE OVERPASS; PLYMOUTH; 2015-12-29 @ 06:06:31;,Traffic: VEHICLE ACCIDENT -
HORSHAM RD & PHEASANT RUN;  MONTGOMERY; Station 345A; 2015-12-29 @ 06:08:58;,EMS: HEAD INJURY
THE FAIRWAY  & RYDAL RD;  ABINGTON; Station 382; 2015-12-29 @ 06:17:52;,EMS: CVA/STROKE
CARALEA DR & DUTCH DR;  EAST NORRITON; Station 308B; 2015-12-29 @ 06:19:28;,EMS: RESPIRATORY EMERGENCY
WELSH RD & ELBOW LN; LOWER MORELAND; 2015-12-29 @ 06:24:39;,Traffic: ROAD OBSTRUCTION -
MILL RACE DR & WOOD BRIDGE RD;  LOWER GWYNEDD; Station 351; 2015-12-29 @ 06:27:48;,EMS: BACK PAINS/INJURY
WELSH RD & W WELSH RD; HORSHAM; 2015-12-29 @ 06:29:37;,Traffic: VEHICLE ACCIDENT -
CROOKED LN & PINE TREE RD;  UPPER MERION; Station 317; 2015-12-29 @ 06:33:36;,EMS: CARDIAC EMERGENCY
GREEN VIEW DR & STONE HILL DR;  UPPER POTTSGROVE; Station 329; 2015-12-29 @ 06:32:43;,EMS: SYNCOPAL EPISODE
MARKLEY ST & W MARSHALL ST; NORRISTOWN; 2015-12-29 @ 06:31:50-Station:STA27;,Fire: ELECTRICAL FIRE OUTSIDE
WELSH RD & ELBOW LN; LOWER MORELAND; 2015-12-29 @ 06:36:04;,Traffic: ROAD OBSTRUCTION -
SHANNONDELL DR & SHANNONDELL BLVD;  LOWER PROVIDENCE; Station 322A; 2015-12-29 @ 06:46:01;,EMS: SUBJECT IN PAIN
WELSH RD & ELBOW LN; LOWER MORELAND; 2015-12-29 @ 06:53:52-Station:STA8;,Fire: FIRE POLICE NEEDED
CURWEN CIR & CURWEN RD; LOWER MERION; 2015-12-29 @ 06:59:12-Station:STA23;,Fire: FIRE ALARM
DEERFIELD DR & MARTHA LN;  LOWER PROVIDENCE; Station 322; 2015-12-29 @ 06:57:14;,EMS: FALL VICTIM
IVY HILL RD & BAYARD ST;  SPRINGFIELD; Station 311; 2015-12-29 @ 07:01:10;,EMS: RESPIRATORY EMERGENCY
GREENFIELD AVE & ROOSEVELT TER;  LOWER MERION; Station 313; 2015-12-29 @ 07:01:48;,EMS: UNCONSCIOUS SUBJECT
OLD LANCASTER RD & UPLAND TER;  LOWER MERION; Station 313; 2015-12-29 @ 07:11:44;,EMS: ALTERED MENTAL STATUS
GERMANTOWN PIKE & HANNAH AVE;  EAST NORRITON; Station 308; 2015-12-29 @ 07:12:28;,EMS: MEDICAL ALERT ALARM
CRESSON BLVD & EGYPT RD;  UPPER PROVIDENCE; Station 322A; 2015-12-29 @ 07:13:18;,EMS: RESPIRATORY EMERGENCY
SPRUCE ST & SMITH ST;  NORTH WALES; Station 345B; 2015-12-29 @ 07:28:37;,EMS: RESPIRATORY EMERGENCY
4TH ST & N BROAD ST;  LANSDALE; Station 345; 2015-12-29 @ 07:40:14;,EMS: OVERDOSE
AMBER CIR & CRIMSON DR;  EAST NORRITON; Station 308; 2015-12-29 @ 07:40:49;,EMS: RESPIRATORY EMERGENCY
STATE ST & S BROAD ST;  UPPER GWYNEDD; Station 345B; 2015-12-29 @ 07:49:49;,EMS: UNKNOWN MEDICAL EMERGENCY
EASTON RD & ANDREA DR;  UPPER MORELAND; Station 381; 2015-12-29 @ 07:50:36;,EMS: NAUSEA/VOMITING
KING ST & PENN ST; POTTSTOWN; 2015-12-29 @ 07:54:12-Station:STA69;,Fire: RESCUE - ELEVATOR
SKIPPACK PIKE & MATHERS LN; WHITEMARSH; 2015-12-29 @ 07:53:09;,Traffic: VEHICLE ACCIDENT -
EASTON RD & ANDREA DR;  UPPER MORELAND; Station 381; 2015-12-29 @ 08:00:38;,EMS: UNRESPONSIVE SUBJECT
WILLIAMS RD & NANCYS LN;  UPPER MERION; Station 317; 2015-12-29 @ 07:57:52;,EMS: UNRESPONSIVE SUBJECT
HAGYS FORD RD & TOWER LN; LOWER MERION; 2015-12-29 @ 07:58:34-Station:STA22;,Fire: FIRE ALARM
TERWOOD DR & WELSH RD; LOWER MORELAND; 2015-12-29 @ 08:03:02;,Traffic: ROAD OBSTRUCTION -
PENNSYLVANIA TPKE & 2ND STREET PIKE OVERPASS;  BUCKS COUNTY; Station 384; 2015-12-29 @ 08:01:57;,EMS: VEHICLE ACCIDENT
HORSHAM RD & RT202 PKWY; MONTGOMERY; 2015-12-29 @ 08:05:42;,Traffic: DISABLED VEHICLE -
SUMNEYTOWN PIKE; TOWAMENCIN; 2015-12-29 @ 08:09:11-Station:STA76;,Fire: VEHICLE FIRE
SUMNEYTOWN PIKE & RAMP RT63 TO I476; TOWAMENCIN; 2015-12-29 @ 08:08:51;,Traffic: VEHICLE FIRE -
TOWNSHIP LINE RD & S SWEDESFORD RD; WHITPAIN; 2015-12-29 @ 08:11:18;,Traffic: DISABLED VEHICLE -
BERGAN RD & ALTON RD;  SPRINGFIELD; Station 311; 2015-12-29 @ 08:15:32;,EMS: CVA/STROKE
VALLEY RD;  LOWER MORELAND; Station 355; 2015-12-29 @ 08:12:26;,EMS: VEHICLE ACCIDENT
VALLEY RD & TERWOOD DR; LOWER MORELAND; 2015-12-29 @ 08:12:59;,Traffic: VEHICLE ACCIDENT -
VALLEY RD; LOWER MORELAND; 2015-12-29 @ 08:19:36-Station:STA8;,Fire: VEHICLE ACCIDENT
HORSHAM RD & WALNUT AVE; HORSHAM; 2015-12-29 @ 08:23:59;,Traffic: VEHICLE ACCIDENT -
MAIN ST & UPPER RIDGE RD; MARLBOROUGH; 2015-12-29 @ 08:35:18-Station:STA42;,Fire: FIRE ALARM
DOYLESTOWN PIKE & COUNTY LINE RD; MONTGOMERY; 2015-12-29 @ 08:39:44;,Traffic: DISABLED VEHICLE -
MEETINGHOUSE RD & DEKALB PIKE;  LOWER GWYNEDD; Station 351; 2015-12-29 @ 08:46:12;,EMS: HEAD INJURY
WARMINSTER RD & BYBERRY RD; HATBORO; 2015-12-29 @ 08:49:28-Station:STA95;,Fire: FIRE ALARM
ROYERSFORD RD & BELLMEADE DR; LIMERICK; 2015-12-29 @ 08:52:33-Station:STA54;,Fire: BUILDING FIRE
PAPER MILL RD & CHELTENHAM AVE; SPRINGFIELD; 2015-12-29 @ 08:53:28;,Traffic: DISABLED VEHICLE -
ROYERSFORD RD & BELLMEADE DR;  LIMERICK; Station 324A; 2015-12-29 @ 09:00:53;,EMS: BUILDING FIRE
GEORGE DR & JASPER RD;  UPPER MERION; Station 317; 2015-12-29 @ 08:57:47;,EMS: RESPIRATORY EMERGENCY
STONEHAVEN DR & JEFFERSON ST;  RED HILL; Station 369; 2015-12-29 @ 09:07:43;,EMS: GENERAL WEAKNESS
YORK RD & RODMAN AVE; ABINGTON; 2015-12-29 @ 09:10:48;,Traffic: DISABLED VEHICLE -
LEVERING CIR & E LEVERING MILL RD; LOWER MERION; 2015-12-29 @ 09:14:00-Station:STA28;,Fire: FIRE ALARM
WASHINGTON LN & VERNON RD; ABINGTON; 2015-12-29 @ 09:13:18-Station:STA200;,Fire: FIRE ALARM
HIGH ST & S FRANKLIN ST;  POTTSTOWN; Station 329; 2015-12-29 @ 09:20:31;,EMS: FALL VICTIM
RIDGE PIKE & N LEWIS RD;  LIMERICK; Station 324A; 2015-12-29 @ 09:17:16;,EMS: UNKNOWN MEDICAL EMERGENCY
S TRAPPE RD & BLACK ROCK RD; UPPER PROVIDENCE; 2015-12-29 @ 09:25:10;,Traffic: VEHICLE ACCIDENT -
RT422  & PERKIOMEN TRAIL UNDERPASS; LOWER PROVIDENCE; 2015-12-29 @ 09:34:43;,Traffic: DISABLED VEHICLE -
BLACK ROCK RD & S TRAPPE RD; UPPER PROVIDENCE; 2015-12-29 @ 09:25:10;,Traffic: VEHICLE ACCIDENT -
DEKALB PIKE & BLUE BELL SPRINGS DR;  WHITPAIN; Station 385; 2015-12-29 @ 09:42:31;,EMS: CARDIAC EMERGENCY
CENTENNIAL RD & FAIRVIEW RD; LOWER MERION; 2015-12-29 @ 09:44:38-Station:STA26;,Fire: FIRE INVESTIGATION
YORK ST & LESHER ALY;  POTTSTOWN; Station 329; 2015-12-29 @ 09:54:12;,EMS: GENERAL WEAKNESS
SUTTER LN & CAMBURN RD; WHITEMARSH; 2015-12-29 @ 09:53:08-Station:STA29;,Fire: FIRE ALARM
OAK ST & BODEY ALY;  NORRISTOWN; Station 308A; 2015-12-29 @ 09:59:34;,EMS: RESPIRATORY EMERGENCY
KULP RD & DEEP CREEK RD; NEW HANOVER; 2015-12-29 @ 09:56:33;,Traffic: ROAD OBSTRUCTION -
LANCASTER AVE & S MERION AVE; LOWER MERION; 2015-12-29 @ 09:57:23;,Traffic: VEHICLE ACCIDENT -
GULPH RD & KIRK AVE; UPPER MERION; 2015-12-29 @ 10:04:18-Station:STA47;,Fire: FIRE ALARM
SUMMIT AVE & WALNUT ST; JENKINTOWN; 2015-12-29 @ 10:03:37;,Traffic: VEHICLE ACCIDENT -
LINDA LN & HIGH ST;  NORRISTOWN; Station 308A; 2015-12-29 @ 10:07:00;,EMS: CARBON MONOXIDE DETECTOR
MAYBERRY RD & GODSHALL RD;  PERKIOMEN; Station 324; 2015-12-29 @ 10:08:37;,EMS: CVA/STROKE
BROOKE DR & JOSHUA DR;  LIMERICK; Station 325; 2015-12-29 @ 10:09:24;,EMS: FALL VICTIM
LINCOLN AVE & WOOD ALY;  TELFORD; Station 339; 2015-12-29 @ 10:09:58;,EMS: FALL VICTIM
LINDA LN & HIGH ST; NORRISTOWN; 2015-12-29 @ 10:06:47-Station:STA27;,Fire: CARBON MONOXIDE DETECTOR
HIGHLEY RD & REDTAIL RD; LOWER PROVIDENCE; 2015-12-29 @ 10:07:53-Station:STA53;,Fire: FIRE ALARM
SOUTH ST & EDEN ST;  POTTSTOWN; Station 329; 2015-12-29 @ 10:15:05;,EMS: SUBJECT IN PAIN
MILL RD & CRESSON BLVD; UPPER PROVIDENCE; 2015-12-29 @ 10:12:24-Station:STA99;,Fire: VEHICLE FIRE
BRYN MAWR AVE & UNION AVE;  LOWER MERION; Station 313; 2015-12-29 @ 10:11:51;,EMS: FALL VICTIM
MILL RD & CRESSON BLVD; UPPER PROVIDENCE; 2015-12-29 @ 10:12:37;,Traffic: VEHICLE FIRE -
PENN ST & SUMMIT AVE;  HATBORO; Station 384; 2015-12-29 @ 10:20:48;,EMS: NAUSEA/VOMITING
KNOLL RD & RUNNYMEDE DR;  PLYMOUTH; Station 308; 2015-12-29 @ 10:19:29;,EMS: UNCONSCIOUS SUBJECT
INDUSTRIAL HWY & MOSER RD;  LOWER POTTSGROVE; Station 329; 2015-12-29 @ 10:22:59;,EMS: OVERDOSE
BEDFORD LN & BELLOWS WAY; MONTGOMERY; 2015-12-29 @ 10:21:51;,Traffic: VEHICLE ACCIDENT -
HAMILTON ST & W MAIN ST; NORRISTOWN; 2015-12-29 @ 10:23:49;,Traffic: VEHICLE ACCIDENT -
PENNSYLVANIA TPKE & W GERMANTOWN PIKE OVERPASS;  PLYMOUTH; Station 308; 2015-12-29 @ 10:27:35;,EMS: BACK PAINS/INJURY
SHOEMAKER RD & MEADOWBROOK RD;  ABINGTON; Station 381; 2015-12-29 @ 10:26:56;,EMS: CVA/STROKE
11TH ST & AVONDALE DR;  PENNSBURG; Station 369; 2015-12-29 @ 10:31:43;,EMS: RESPIRATORY EMERGENCY
BROOKSIDE RD & DEAD END;  SPRINGFIELD; Station 311; 2015-12-29 @ 10:33:51;,EMS: RESPIRATORY EMERGENCY
PHILADELPHIA AVE & MONTGOMERY AVE; DOUGLASS; 2015-12-29 @ 10:37:01;,Traffic: VEHICLE ACCIDENT -
DIXON LN & IMPERIAL RD;  ABINGTON; Station 382; 2015-12-29 @ 10:39:43;,EMS: UNCONSCIOUS SUBJECT
LIPPINCOTT AVE; LOWER MERION; 2015-12-29 @ 10:40:34-Station:STA25;,Fire: BUILDING FIRE
LIPPINCOTT AVE & E SPRING AVE; LOWER MERION; 2015-12-29 @ 10:40:34-Station:STA25;,Fire: BUILDING FIRE
YORK RD & HILLSIDE AVE; JENKINTOWN; 2015-12-29 @ 10:49:38;,Traffic: VEHICLE ACCIDENT -
STANBRIDGE ST & W WASHINGTON ST;  NORRISTOWN; Station 308A; 2015-12-29 @ 10:54:28;,EMS: HEAD INJURY
COATES ST & CHURCH ALY;  UPPER MERION; Station 317; 2015-12-29 @ 10:52:58;,EMS: BACK PAINS/INJURY
BETH ANN DR & FLORENCE DR;  LOWER SALFORD; Station 344; 2015-12-29 @ 10:53:53;,EMS: CVA/STROKE
QUEEN ST & MADISON ST; POTTSTOWN; 2015-12-29 @ 10:53:56;,Traffic: VEHICLE ACCIDENT -
RT309 EXPY & WILLOW GROVE AVE OVERPASS; CHELTENHAM; 2015-12-29 @ 10:52:11;,Traffic: VEHICLE ACCIDENT -
E MONTGOMERY AVE & ANDERSON AVE; LOWER MERION; 2015-12-29 @ 10:59:40;,Traffic: VEHICLE ACCIDENT -
OLD YORK RD & BAEDER RD; ABINGTON; 2015-12-29 @ 11:04:18;,Traffic: VEHICLE ACCIDENT -
CHESTNUT LN & W COUNTY LINE RD; HORSHAM; 2015-12-29 @ 11:09:56-Station:STA15;,Fire: FIRE ALARM
LIMEKILN PIKE & WILLOW GROVE AVE;  CHELTENHAM; Station 358A; 2015-12-29 @ 11:13:00;,EMS: OVERDOSE
BETHLEHEM PIKE & NORTH WALES RD;  MONTGOMERY; Station 345A; 2015-12-29 @ 11:18:34;,EMS: HEAD INJURY
WASHINGTON LN & DEAD END;  CHELTENHAM; Station 358; 2015-12-29 @ 11:17:49;,EMS: MATERNITY
EGYPT RD & ROBIN LN; LOWER PROVIDENCE; 2015-12-29 @ 11:20:58;,Traffic: VEHICLE ACCIDENT -
PAPER MILL RD & RAMP PAPER MILL RD TO RT309 NB; SPRINGFIELD; 2015-12-29 @ 11:19:14;,Traffic: VEHICLE ACCIDENT -
NEW HANOVER SQUARE RD & SYCAMORE LN;  NEW HANOVER; Station 329; 2015-12-29 @ 11:26:50;,EMS: RESPIRATORY EMERGENCY
RT309 EXPY & WILLOW GROVE AVE OVERPASS; CHELTENHAM; 2015-12-29 @ 11:34:42;,Traffic: VEHICLE ACCIDENT -
MOORE RD & W 9TH AVE;  UPPER MERION; Station 317; 2015-12-29 @ 11:33:02;,EMS: ABDOMINAL PAINS
FAGLEYSVILLE RD & KEYSER RD; UPPER FREDERICK; 2015-12-29 @ 11:39:24;,Traffic: VEHICLE ACCIDENT -
HIGH ST & BEECH ST; POTTSTOWN; 2015-12-29 @ 11:37:37;,Traffic: VEHICLE ACCIDENT -
MAIN ST & W 3RD ST;  PENNSBURG; Station 369; 2015-12-29 @ 11:42:39;,EMS: CARDIAC EMERGENCY
MEETINGHOUSE RD & OAKDALE AVE;  HORSHAM; Station 352; 2015-12-29 @ 11:43:30;,EMS: EMS SPECIAL SERVICE
UPLAND ST & MANATAWNY ST;  POTTSTOWN; Station 329; 2015-12-29 @ 11:43:18;,EMS: GENERAL WEAKNESS
RED LION RD & PHILMONT AVE; LOWER MORELAND; 2015-12-29 @ 11:44:19;,Traffic: DISABLED VEHICLE -
BROAD ST & MUNICIPAL DR;  LOWER SALFORD; Station 344; 2015-12-29 @ 11:46:43;,EMS: UNCONSCIOUS SUBJECT
RED LION RD & RR CROSSING; LOWER MORELAND; 2015-12-29 @ 11:44:19;,Traffic: DISABLED VEHICLE -
SCHUYLKILL EXPY & RAMP S GULPH RD TO I76 WB; UPPER MERION; 2015-12-29 @ 11:48:21;,Traffic: VEHICLE ACCIDENT -
SCHUYLKILL EXPY & RAMP S GULPH RD TO I76 WB; UPPER MERION; 2015-12-29 @ 11:49:01;,Traffic: VEHICLE ACCIDENT -
